#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1687813200,186160,965544,140.30.20.1,14,2209,950020,950040,0,0,140.30.20.8,152.148.48.4,140.30.20.2,164,164,22,55948,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,16,1694,950020,950044,0,0,152.148.48.4,140.30.20.5,0.0.0.0,164,164,43782,22,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,14,2209,950016,950036,0,0,140.30.20.7,152.148.48.4,140.30.20.2,164,164,22,41934,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,16,1694,950020,950040,0,0,152.148.48.4,140.30.20.8,0.0.0.0,164,164,55948,22,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,14,2209,950024,950044,0,0,140.30.20.6,152.148.48.4,140.30.20.2,164,164,22,37534,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,14,2209,950020,950044,0,0,140.30.20.5,152.148.48.4,140.30.20.2,164,164,22,43782,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,16,1694,950024,950044,0,0,152.148.48.4,140.30.20.6,0.0.0.0,164,164,37534,22,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,16,1694,950016,950036,0,0,152.148.48.4,140.30.20.7,0.0.0.0,164,164,41934,22,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,16,1694,950208,950240,0,0,152.148.48.6,140.30.20.7,0.0.0.0,164,164,59558,22,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,15,1642,950196,950224,0,0,152.148.48.6,140.30.20.7,0.0.0.0,164,164,59556,22,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,14,2209,950208,950240,0,0,140.30.20.7,152.148.48.6,140.30.20.2,164,164,22,59558,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,15,2261,950196,950224,0,0,140.30.20.7,152.148.48.6,140.30.20.2,164,164,22,59556,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,15,2309,950248,950380,0,0,140.30.20.7,152.148.48.4,140.30.20.2,164,164,22,41936,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,15,2309,950256,950380,0,0,140.30.20.6,152.148.48.4,140.30.20.2,164,164,22,37536,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,17,1778,950248,950376,0,0,152.148.48.4,140.30.20.8,0.0.0.0,164,164,55950,22,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,15,1642,950384,950404,0,0,152.148.48.4,140.30.20.5,0.0.0.0,164,164,43788,22,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,15,2261,950384,950404,0,0,140.30.20.5,152.148.48.4,140.30.20.2,164,164,22,43788,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,17,1778,950256,950376,0,0,152.148.48.4,140.30.20.5,0.0.0.0,164,164,43784,22,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,17,1778,950248,950380,0,0,152.148.48.4,140.30.20.7,0.0.0.0,164,164,41936,22,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,17,1778,950256,950380,0,0,152.148.48.4,140.30.20.6,0.0.0.0,164,164,37536,22,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,15,2309,950248,950376,0,0,140.30.20.8,152.148.48.4,140.30.20.2,164,164,22,55950,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,15,2309,950256,950376,0,0,140.30.20.5,152.148.48.4,140.30.20.2,164,164,22,43784,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,14,2209,950508,950532,0,0,140.30.20.5,152.148.48.6,140.30.20.2,164,164,22,42066,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,17,1778,950452,950492,0,0,152.148.48.6,140.30.20.7,0.0.0.0,164,164,59562,22,6,0,30,0,0,0,0
1687813200,186160,965544,140.30.20.1,15,2837,950452,950488,0,0,140.30.20.7,152.148.48.6,140.30.20.2,164,164,22,59562,6,0,26,0,0,0,0
1687813200,186160,965544,140.30.20.1,16,1694,950396,950424,0,0,152.148.48.4,140.30.20.6,0.0.0.0,164,164,37538,22,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,15,2837,950444,950476,0,0,140.30.20.7,152.148.48.6,140.30.20.2,164,164,22,59560,6,0,26,0,0,0,0
1687813200,186160,965544,140.30.20.1,14,2209,950396,950424,0,0,140.30.20.6,152.148.48.4,140.30.20.2,164,164,22,37538,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,14,2209,950392,950420,0,0,140.30.20.9,152.148.48.4,140.30.20.2,164,164,22,48708,6,0,27,0,0,0,0
1687813200,186160,965544,140.30.20.1,16,1694,950508,950532,0,0,152.148.48.6,140.30.20.5,0.0.0.0,164,164,42066,22,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,16,1694,950392,950420,0,0,152.148.48.4,140.30.20.9,0.0.0.0,164,164,48708,22,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,17,1778,950444,950480,0,0,152.148.48.6,140.30.20.7,0.0.0.0,164,164,59560,22,6,0,30,0,0,0,0
1687813200,924653,966284,140.30.20.1,15,2837,950620,950648,0,0,140.30.20.5,152.148.48.4,140.30.20.2,164,164,22,43790,6,0,26,0,0,0,0
1687813200,924653,966284,140.30.20.1,15,2309,950628,950668,0,0,140.30.20.9,152.148.48.4,140.30.20.2,164,164,22,48710,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,16,1694,950688,950708,0,0,152.148.48.4,140.30.20.5,0.0.0.0,164,164,43792,22,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,17,1778,950628,950668,0,0,152.148.48.4,140.30.20.9,0.0.0.0,164,164,48710,22,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,14,2209,950680,950708,0,0,140.30.20.9,152.148.48.4,140.30.20.2,164,164,22,48712,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,14,2785,950632,950668,0,0,140.30.20.6,152.148.48.4,140.30.20.2,164,164,22,37542,6,0,26,0,0,0,0
1687813200,924653,966284,140.30.20.1,17,1778,950620,950656,0,0,152.148.48.4,140.30.20.5,0.0.0.0,164,164,43790,22,6,0,30,0,0,0,0
1687813200,924653,966284,140.30.20.1,14,2209,950688,950708,0,0,140.30.20.5,152.148.48.4,140.30.20.2,164,164,22,43792,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,16,1694,950680,950708,0,0,152.148.48.4,140.30.20.9,0.0.0.0,164,164,48712,22,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,15,1662,950632,950668,0,0,152.148.48.4,140.30.20.6,0.0.0.0,164,164,37542,22,6,0,31,0,0,0,0
1687813200,924653,966284,140.30.20.1,14,2209,950792,950816,0,0,140.30.20.8,152.148.48.6,140.30.20.2,164,164,22,55110,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,16,1694,950792,950816,0,0,152.148.48.6,140.30.20.8,0.0.0.0,164,164,55110,22,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,15,2837,950740,950772,0,0,140.30.20.5,152.148.48.6,140.30.20.2,164,164,22,42068,6,0,26,0,0,0,0
1687813200,924653,966284,140.30.20.1,17,1778,950740,950776,0,0,152.148.48.6,140.30.20.5,0.0.0.0,164,164,42068,22,6,0,30,0,0,0,0
1687813200,924653,966284,140.30.20.1,15,2837,950916,950944,0,0,140.30.20.9,152.148.48.4,140.30.20.2,164,164,22,48714,6,0,26,0,0,0,0
1687813200,924653,966284,140.30.20.1,17,1778,950916,950952,0,0,152.148.48.4,140.30.20.9,0.0.0.0,164,164,48714,22,6,0,30,0,0,0,0
1687813200,924653,966284,140.30.20.1,17,1778,950920,950952,0,0,152.148.48.4,140.30.20.5,0.0.0.0,164,164,43794,22,6,0,30,0,0,0,0
1687813200,924653,966284,140.30.20.1,15,2837,950920,950948,0,0,140.30.20.5,152.148.48.4,140.30.20.2,164,164,22,43794,6,0,26,0,0,0,0
1687813200,924653,966284,140.30.20.1,15,1642,950968,950996,0,0,152.148.48.4,140.30.20.5,0.0.0.0,164,164,43796,22,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,17,1778,951028,951064,0,0,152.148.48.6,140.30.20.8,0.0.0.0,164,164,55112,22,6,0,30,0,0,0,0
1687813200,924653,966284,140.30.20.1,13,2157,950976,950996,0,0,140.30.20.9,152.148.48.4,140.30.20.2,164,164,22,48718,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,16,1694,950972,950996,0,0,152.148.48.4,140.30.20.9,0.0.0.0,164,164,48718,22,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,14,2785,951028,951060,0,0,140.30.20.8,152.148.48.6,140.30.20.2,164,164,22,55112,6,0,26,0,0,0,0
1687813200,924653,966284,140.30.20.1,14,2209,950968,950996,0,0,140.30.20.5,152.148.48.4,140.30.20.2,164,164,22,43796,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,16,1694,951080,951104,0,0,152.148.48.6,140.30.20.8,0.0.0.0,164,164,55114,22,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,14,2209,951080,951104,0,0,140.30.20.8,152.148.48.6,140.30.20.2,164,164,22,55114,6,0,27,0,0,0,0
1687813200,924653,966284,140.30.20.1,15,2837,951204,951232,0,0,140.30.20.9,152.148.48.4,140.30.20.2,164,164,22,48720,6,0,26,0,0,0,0
1687813200,924653,966284,140.30.20.1,17,1778,951208,951240,0,0,152.148.48.4,140.30.20.5,0.0.0.0,164,164,43798,22,6,0,30,0,0,0,0
1687813203,99181,968456,140.30.20.1,15,2837,951208,951236,0,0,140.30.20.5,152.148.48.4,140.30.20.2,164,164,22,43798,6,0,26,0,0,0,0
1687813203,99181,968456,140.30.20.1,17,1778,951204,951240,0,0,152.148.48.4,140.30.20.9,0.0.0.0,164,164,48720,22,6,0,30,0,0,0,0
1687813203,99181,968456,140.30.20.1,15,2837,951312,951344,0,0,140.30.20.8,152.148.48.6,140.30.20.2,164,164,22,55118,6,0,26,0,0,0,0
1687813203,99181,968456,140.30.20.1,17,1778,951312,951348,0,0,152.148.48.6,140.30.20.8,0.0.0.0,164,164,55118,22,6,0,30,0,0,0,0
1687813203,99181,968456,140.30.20.1,16,1694,951368,951388,0,0,152.148.48.6,140.30.20.9,0.0.0.0,164,164,54468,22,6,0,27,0,0,0,0
1687813203,99181,968456,140.30.20.1,14,2209,951368,951388,0,0,140.30.20.9,152.148.48.6,140.30.20.2,164,164,22,54468,6,0,27,0,0,0,0
1687813203,99181,968456,140.30.20.1,17,1778,951596,951632,0,0,152.148.48.6,140.30.20.9,0.0.0.0,164,164,54470,22,6,0,30,0,0,0,0
1687813203,99181,968456,140.30.20.1,15,2837,951596,951624,0,0,140.30.20.9,152.148.48.6,140.30.20.2,164,164,22,54470,6,0,26,0,0,0,0
1687813203,99181,968456,140.30.20.1,3,264,950016,951648,0,0,140.30.20.3,140.30.20.7,0.0.0.0,65535,164,0,1281,1,192,0,0,0,0,0
1687813203,99181,968456,140.30.20.1,16,1694,951648,951672,0,0,152.148.48.6,140.30.20.7,0.0.0.0,164,164,59564,22,6,0,27,0,0,0,0
1687813203,99181,968456,140.30.20.1,14,2209,951648,951672,0,0,140.30.20.7,152.148.48.6,140.30.20.2,164,164,22,59564,6,0,27,0,0,0,0
1687813203,99181,968456,140.30.20.1,15,2837,951880,951912,0,0,140.30.20.7,152.148.48.6,140.30.20.2,164,164,22,59566,6,0,26,0,0,0,0
1687813203,99181,968456,140.30.20.1,17,1778,951880,951916,0,0,152.148.48.6,140.30.20.7,0.0.0.0,164,164,59566,22,6,0,30,0,0,0,0
1687813203,99181,968456,140.30.20.1,2,120,951256,952288,0,0,152.148.48.4,140.30.20.10,0.0.0.0,164,164,39052,22,6,0,2,0,0,0,0
1687813203,99181,968456,140.30.20.1,3,180,950200,953248,0,0,152.148.48.6,140.30.20.11,0.0.0.0,164,164,40984,22,6,0,2,0,0,0,0
1687813203,99181,968456,140.30.20.1,3,180,950204,953252,0,0,152.148.48.6,140.30.20.10,0.0.0.0,164,164,38044,22,6,0,2,0,0,0,0
1687813203,99181,968456,140.30.20.1,3,180,950684,953280,0,0,152.148.48.4,140.30.20.11,0.0.0.0,164,164,59538,22,6,0,2,0,0,0,0
1687813203,99181,968456,140.30.20.1,3,180,950516,953280,0,0,152.148.48.6,140.30.20.10,0.0.0.0,164,164,38046,22,6,0,2,0,0,0,0
1687813203,99181,968456,140.30.20.1,3,180,951252,953280,0,0,152.148.48.4,140.30.20.10,0.0.0.0,164,164,39050,22,6,0,2,0,0,0,0
1687813203,99181,968456,140.30.20.1,3,180,950384,953280,0,0,152.148.48.4,140.30.20.10,0.0.0.0,164,164,39048,22,6,0,2,0,0,0,0
1687813203,99181,968456,140.30.20.1,16,1694,953328,953364,0,0,152.148.48.4,140.30.20.9,0.0.0.0,164,164,48722,22,6,0,27,0,0,0,0
1687813203,99181,968456,140.30.20.1,16,1694,953328,953364,0,0,152.148.48.4,140.30.20.9,0.0.0.0,164,164,48724,22,6,0,27,0,0,0,0
1687813203,99181,968456,140.30.20.1,14,2209,953328,953364,0,0,140.30.20.9,152.148.48.4,140.30.20.2,164,164,22,48724,6,0,27,0,0,0,0
1687813203,99181,968456,140.30.20.1,6,528,950392,953328,0,0,140.30.20.3,140.30.20.9,0.0.0.0,65535,164,0,1281,1,192,0,0,0,0,0
1687813203,99181,968456,140.30.20.1,14,2209,953328,953364,0,0,140.30.20.9,152.148.48.4,140.30.20.2,164,164,22,48722,6,0,27,0,0,0,0
1687813203,99181,968456,140.30.20.1,15,2261,953316,953340,0,0,140.30.20.8,152.148.48.4,140.30.20.2,164,164,22,55952,6,0,27,0,0,0,0
1687813203,99181,968456,140.30.20.1,16,1694,953320,953352,0,0,152.148.48.6,140.30.20.6,0.0.0.0,164,164,60032,22,6,0,27,0,0,0,0
1687813203,99181,968456,140.30.20.1,16,1694,953312,953360,0,0,152.148.48.6,140.30.20.6,0.0.0.0,164,164,60028,22,6,0,27,0,0,0,0
1687813203,99181,968456,140.30.20.1,14,2209,953312,953360,0,0,140.30.20.6,152.148.48.6,140.30.20.2,164,164,22,60028,6,0,27,0,0,0,0
1687813203,99181,968456,140.30.20.1,6,520,950020,953316,0,0,140.30.20.3,140.30.20.8,0.0.0.0,65535,164,0,1281,1,192,0,0,0,0,0
1687813203,580665,968940,140.30.20.1,5,432,950020,953300,0,0,140.30.20.3,140.30.20.5,0.0.0.0,65535,164,0,1281,1,192,0,0,0,0,0
1687813203,580665,968940,140.30.20.1,16,1694,953300,953320,0,0,152.148.48.4,140.30.20.5,0.0.0.0,164,164,43800,22,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,14,2209,953320,953352,0,0,140.30.20.6,152.148.48.6,140.30.20.2,164,164,22,60032,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,14,2209,953300,953320,0,0,140.30.20.5,152.148.48.4,140.30.20.2,164,164,22,43800,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,15,1642,953316,953340,0,0,152.148.48.4,140.30.20.8,0.0.0.0,164,164,55952,22,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,13,2157,953364,953404,0,0,140.30.20.9,152.148.48.6,140.30.20.2,164,164,22,54472,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,5,432,950024,953312,0,0,140.30.20.3,140.30.20.6,0.0.0.0,65535,164,0,1281,1,192,0,0,0,0,0
1687813203,580665,968940,140.30.20.1,16,1694,953364,953404,0,0,152.148.48.6,140.30.20.9,0.0.0.0,164,164,54472,22,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,14,2209,953660,953680,0,0,140.30.20.8,152.148.48.6,140.30.20.2,164,164,22,55122,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,16,1694,953656,953680,0,0,152.148.48.6,140.30.20.8,0.0.0.0,164,164,55120,22,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,15,2837,953572,953616,0,0,140.30.20.9,152.148.48.4,140.30.20.2,164,164,22,48728,6,0,26,0,0,0,0
1687813203,580665,968940,140.30.20.1,14,2209,953616,953660,0,0,140.30.20.9,152.148.48.4,140.30.20.2,164,164,22,48730,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,15,2837,953556,953588,0,0,140.30.20.8,152.148.48.4,140.30.20.2,164,164,22,55954,6,0,26,0,0,0,0
1687813203,580665,968940,140.30.20.1,15,2309,953572,953652,0,0,140.30.20.9,152.148.48.4,140.30.20.2,164,164,22,48726,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,15,2837,953616,953684,0,0,140.30.20.9,152.148.48.6,140.30.20.2,164,164,22,54474,6,0,26,0,0,0,0
1687813203,580665,968940,140.30.20.1,15,1662,953616,953684,0,0,152.148.48.6,140.30.20.9,0.0.0.0,164,164,54474,22,6,0,31,0,0,0,0
1687813203,580665,968940,140.30.20.1,17,1778,953556,953592,0,0,152.148.48.4,140.30.20.8,0.0.0.0,164,164,55954,22,6,0,30,0,0,0,0
1687813203,580665,968940,140.30.20.1,15,2837,953572,953620,0,0,140.30.20.6,152.148.48.6,140.30.20.2,164,164,22,60038,6,0,26,0,0,0,0
1687813203,580665,968940,140.30.20.1,17,1778,953532,953568,0,0,152.148.48.4,140.30.20.5,0.0.0.0,164,164,43802,22,6,0,30,0,0,0,0
1687813203,580665,968940,140.30.20.1,15,2837,953532,953564,0,0,140.30.20.5,152.148.48.4,140.30.20.2,164,164,22,43802,6,0,26,0,0,0,0
1687813203,580665,968940,140.30.20.1,16,1714,953572,953620,0,0,152.148.48.6,140.30.20.6,0.0.0.0,164,164,60038,22,6,0,31,0,0,0,0
1687813203,580665,968940,140.30.20.1,16,1694,953660,953680,0,0,152.148.48.6,140.30.20.8,0.0.0.0,164,164,55122,22,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,15,1642,953612,953660,0,0,152.148.48.4,140.30.20.9,0.0.0.0,164,164,48730,22,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,14,2209,953656,953680,0,0,140.30.20.8,152.148.48.6,140.30.20.2,164,164,22,55120,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,17,1778,953564,953604,0,0,152.148.48.6,140.30.20.6,0.0.0.0,164,164,60036,22,6,0,30,0,0,0,0
1687813203,580665,968940,140.30.20.1,17,1778,953572,953652,0,0,152.148.48.4,140.30.20.9,0.0.0.0,164,164,48726,22,6,0,27,0,0,0,0
1687813203,580665,968940,140.30.20.1,16,1714,953572,953616,0,0,152.148.48.4,140.30.20.9,0.0.0.0,164,164,48728,22,6,0,31,0,0,0,0
1687813203,580665,968940,140.30.20.1,15,2837,953564,953600,0,0,140.30.20.6,152.148.48.6,140.30.20.2,164,164,22,60036,6,0,26,0,0,0,0
1687813203,580665,968940,140.30.20.1,17,1778,953880,953912,0,0,152.148.48.4,140.30.20.9,0.0.0.0,164,164,48732,22,6,0,30,0,0,0,0
1687813203,580665,968940,140.30.20.1,15,2837,953892,953924,0,0,140.30.20.8,152.148.48.6,140.30.20.2,164,164,22,55128,6,0,26,0,0,0,0
1687813216,815171,982172,140.30.20.1,15,2837,953892,953924,0,0,140.30.20.8,152.148.48.6,140.30.20.2,164,164,22,55124,6,0,26,0,0,0,0
1687813216,815171,982172,140.30.20.1,17,1778,953892,953928,0,0,152.148.48.6,140.30.20.8,0.0.0.0,164,164,55128,22,6,0,30,0,0,0,0
1687813216,815171,982172,140.30.20.1,17,1778,953892,953924,0,0,152.148.48.6,140.30.20.8,0.0.0.0,164,164,55124,22,6,0,30,0,0,0,0
1687813216,815171,982172,140.30.20.1,15,2837,953880,953912,0,0,140.30.20.9,152.148.48.4,140.30.20.2,164,164,22,48732,6,0,26,0,0,0,0
1687813216,815171,982172,140.30.20.1,15,1642,953944,953964,0,0,152.148.48.6,140.30.20.6,0.0.0.0,164,164,60040,22,6,0,27,0,0,0,0
1687813216,815171,982172,140.30.20.1,14,2209,953944,953968,0,0,140.30.20.9,152.148.48.6,140.30.20.2,164,164,22,54476,6,0,27,0,0,0,0
1687813216,815171,982172,140.30.20.1,16,1694,953944,953968,0,0,152.148.48.6,140.30.20.9,0.0.0.0,164,164,54476,22,6,0,27,0,0,0,0
1687813216,815171,982172,140.30.20.1,15,2261,953944,953964,0,0,140.30.20.6,152.148.48.6,140.30.20.2,164,164,22,60040,6,0,27,0,0,0,0
1687813216,815171,982172,140.30.20.1,17,1778,954180,954212,0,0,152.148.48.6,140.30.20.9,0.0.0.0,164,164,54478,22,6,0,30,0,0,0,0
1687813216,815171,982172,140.30.20.1,15,2837,954180,954204,0,0,140.30.20.9,152.148.48.6,140.30.20.2,164,164,22,54478,6,0,26,0,0,0,0
1687813216,815171,982172,140.30.20.1,17,1778,954176,954208,0,0,152.148.48.6,140.30.20.6,0.0.0.0,164,164,60042,22,6,0,30,0,0,0,0
1687813216,815171,982172,140.30.20.1,15,2837,954176,954204,0,0,140.30.20.6,152.148.48.6,140.30.20.2,164,164,22,60042,6,0,26,0,0,0,0
1687813216,815171,982172,140.30.20.1,3,180,951932,954980,0,0,152.148.48.6,140.30.20.11,0.0.0.0,164,164,40986,22,6,0,2,0,0,0,0
1687813216,815171,982172,140.30.20.1,3,180,953708,956360,0,0,152.148.48.6,140.30.20.10,0.0.0.0,164,164,38048,22,6,0,2,0,0,0,0
1687813216,815171,982172,140.30.20.1,4,240,954228,959424,0,0,152.148.48.6,140.30.20.10,0.0.0.0,164,164,38050,22,6,0,2,0,0,0,0
1687813216,815171,982172,140.30.20.1,1,88,959504,959504,0,0,140.30.20.3,140.30.20.4,0.0.0.0,65535,164,0,1281,1,192,0,0,0,0,0
1687813216,815171,982172,140.30.20.1,16,3081,959504,959632,0,0,140.30.20.4,152.148.48.254,140.30.20.2,164,164,22,56990,6,0,26,0,0,0,0
1687813216,815171,982172,140.30.20.1,18,2773,959504,959632,0,0,152.148.48.254,140.30.20.4,0.0.0.0,164,164,56990,22,6,0,26,0,0,0,0
1687813216,815171,982172,140.30.20.1,23,2044,959632,960616,0,0,152.148.48.254,140.30.20.4,0.0.0.0,164,164,56990,22,6,16,25,0,0,0,0
1687813216,815171,982172,140.30.20.1,23,3260,959632,960616,0,0,140.30.20.4,152.148.48.254,140.30.20.2,164,164,22,56990,6,16,25,0,0,0,0
1687813216,815171,982172,140.30.20.1,38,5650,960796,961088,0,0,152.148.48.254,140.30.20.3,0.0.0.0,164,65535,36772,22,6,0,26,0,0,0,0
1687813216,815171,982172,140.30.20.1,28,3981,960796,961088,0,0,140.30.20.3,152.148.48.254,140.30.20.2,65535,164,22,36772,6,0,26,0,0,0,0
1687813216,815171,982172,140.30.20.1,42,4352,961088,962204,0,0,140.30.20.3,152.148.48.254,140.30.20.2,65535,164,22,36772,6,16,25,0,0,0,0
1687813216,815171,982172,140.30.20.1,56,4608,961088,962204,0,0,152.148.48.254,140.30.20.3,0.0.0.0,164,65535,36772,22,6,16,25,0,0,0,0
1687813216,815171,982172,140.30.20.1,18,2773,962396,962524,0,0,152.148.48.254,152.148.48.2,140.30.20.2,164,164,48524,22,6,0,26,0,0,0,0
1687813216,815171,982172,140.30.20.1,32,2504,962524,963492,0,0,152.148.48.254,152.148.48.2,140.30.20.2,164,164,48524,22,6,16,25,0,0,0,0
1687813216,815171,982172,140.30.20.1,5,456,967100,967100,0,0,152.148.48.254,152.148.48.2,140.30.20.2,164,164,22,52256,6,8,25,0,0,0,0
1687813216,815171,982172,140.30.20.1,27,3489,966772,967052,0,0,140.30.20.3,152.148.48.254,140.30.20.2,65535,164,49650,22,6,0,26,0,0,0,0
1687813216,815171,982172,140.30.20.1,18,3185,966896,967100,0,0,152.148.48.254,152.148.48.2,140.30.20.2,164,164,22,52256,6,0,26,0,0,0,0
1687813216,815171,982172,140.30.20.1,10,912,967052,967076,0,0,152.148.48.254,140.30.20.3,0.0.0.0,164,65535,22,49650,6,8,25,0,0,0,0
1687813231,896931,997256,140.30.20.1,11,812,967052,967076,0,0,140.30.20.3,152.148.48.254,140.30.20.2,65535,164,49650,22,6,8,25,0,0,0,0
1687813231,896931,997256,140.30.20.1,36,6370,966772,967052,0,0,152.148.48.254,140.30.20.3,0.0.0.0,164,65535,22,49650,6,0,26,0,0,0,0
